AuthorsWhoPublishedContinually
Abdellatif Zaidi
János Pach
Katerina Slaninová
Kei Okada
Kevin Zhang
Khalid Saeed 0001
Kyoung Mu Lee
Lorrie Faith Cranor
M. Eduard Gröller
Magnús M. Halldórsson
Maja Pantic
Marco de Gemmis
Mark Moir
Mark Sanderson
Mark Stevenson
Masayuki Inaba
Massoud Pedram
Michael Kaufmann 0001
Michael S. Brown
Michel Raynal
Mitsuhisa Sato
Nabendu Chaki
Naehyuck Chang
Nuno Correia 0001
Olivier Stasse
Paolo Rosso
Paolo Tonella
Patrizio Angelini
Pavan Kumar Hanumolu
Petra Mutzel
Pui-In Mak
Qi Tian 0001
Rainer Stiefelhagen
Rajkumar Buyya
Roberto Cipolla
Robin D. Burke
Roger Wattenhofer
Rolf Drechsler
Rosario Gennaro
Sargur N. Srihari
Seok-Hee Hong
Seungmoon Choi
Shinobu Nagayama
Shuicheng Yan
Silvio Savarese
Stefan Roth 0001
Stephen C. North
Takahiro Hanyu
Takao Waho
Tamara Mchedlidze
Tatsuo Higuchi 0001
Thomas Ertl
Thomas Peyrin
Thomas Toifl
Tinne Tuytelaars
Tsutomu Sasao
Ulrik Brandes
Vincent Hayward
Vittorio Ferrari
Vivien Petras
Walter Didimo
Xiangyang Zhu
Xiaoou Tang
Yi Mu 0001
Ying Wu
Yong Shi
Yu-Wing Tai
Álvaro Rodrigo
Alexander Horsch
Alin Albu-Schäffer
Amitava Ghosh
Andrew F. Laine
Angelo Perkusich
Anthony Stentz
Antoine Ferreira
Arthur W. Toga
Barbara M. Chapman
Bo Ai
Brajendra Panda
Bronis R. de Supinski
Bryant A. Julstrom
Byung-Ju Yi
Carlo Alberto Avizzano
Chi Zhang
Christian Laugier
Daniel Rueckert
David Leake
Dimitri Van De Ville
Dimitris N. Metaxas
Francesco Ricci 0001
Gamini Dissanayake
Georg Ohmayer
Georges Quénot
Gerd Ascheid
H. Raghav Rao
Haizhou Li 0001
Hans-Arno Jacobsen
Hiroshi Ishiguro
Hyung Suck Cho
Jae-Bok Song
Jan Ehrhardt
Jan Peters 0001
Jean-Christophe Olivo-Marin
Jerry L. Prince
Jing Wang
Jing Xiao 0001
Joachim Hornegger
Jochen J. Steil
Jonathan Aldrich
Jonathan Rose
Joseph V. Hajnal
Jun Ota
Kazuhito Yokoi
Kazuo Tanie
Kenji Hoshino
Kensuke Harada
Kerstin Dautenhahn
Koh Hosoda
Koji Yamamoto
Lajos Hanzo
Li-Chen Fu
Lihua Li 0001
Maja J. Mataric
Manuela M. Veloso
Marco Di Renzo
Markus Vincze
Masahiro Tomono
Masaki Yamakita
Masayuki Inaba
Massimo Bergamasco
Mathew J. Palakal
Mathews Jacob
Matthias S. Müller
Michael Unser
Michita Imai
Mohamed-Slim Alouini
Myung Jin Chung
Nak Young Chong
Narcyz Roztocki
Oliver Thomas
Paolo Dario
Paul Chow
Paul M. Thompson
Philippe Poignet
Rachid Alami
Radboud Winkels
Rapeepat Ratasuk
Richard Chbeir
Robert J. Wood
Sami Haddadin
Seref Sagiroglu
Shuuji Kajita
Siddhartha S. Srinivasa
Stefan Wörz
Steven Fraser 0001
Sungchul Kang
Takanori Shibata
Takeo Fujii
Tamio Arai
Toshio Fukuda
Trevor J. M. Bench-Capon
Tsukasa Ogasawara
Ulrike Gretzel
Victor C. M. Leung
Walter Brenner
Wolfram Höpken
Xiaoming Tao
Xiuzhen Cheng
Yantao Shen
Yongyi Yang
Yongyu Chang
Yoshihisa Kishiyama
Yoshinori Kuno
Zhangdui Zhong
Anders Yeo
Asaf Levin
Azzedine Boukerche
Bernd Girod
Bin Xiao 0001
C.-C. Jay Kuo
Carlos Martín-Vide
Chang Wen Chen
Chi-Wang Shu
Chita R. Das
Debin Zhao
Dharma P. Agrawal
Don Gotterbarn
Eduard Ayguadé
Fatos Xhafa
Fedor V. Fomin
Gen-Huey Chen
Gerhard J. Woeginger
Graham C. Goodwin
Hong Jiang 0001
Howard Jay Siegel
Irith Pomeranz
Jack J. Dongarra
James Lam
Jaroslav Nesetril
Javier Murillo
Jianer Chen
Jiannong Cao 0001
Jianxian Qiu
Jim E. Morel
Johan Schoukens
José Duato
Kang G. Shin
Luis Chacón
Mark Doernhoefer
Martin J. Chlond
Michel Raynal
Nicolas Nisse
Pen-Chung Yew
Peng Shi 0001
Peter B. Henderson
Qing Yang 0001
Qingming Huang
Qionghai Dai
Rajkumar Buyya
Ramesh C. Jain
Rik Pintelon
Robert M. Goldberg
Robert Schaefer
Sherali Zeadally
Shouyang Wang
T. C. Edwin Cheng
Tony Clear
W. Neville Holmes
Wei Xing Zheng 0001
Weijia Jia
Weimin Zheng
Yalchin Efendiev
Yixian Yang
Yuanyuan Yang 0001
Zhong-Ping Jiang
Zsolt Tuza
Alan C. Bovik
Andreas Steininger
Anthony Vetro
Antonio Ortega
Avideh Zakhor
B. S. Manjunath
Bart Goossens
Bernd Girod
Bir Bhanu
Carlo S. Regazzoni
Chang-Su Kim
David Al-Dabass
David Taubman
Debin Zhao
Edwin R. Hancock
Fatos Xhafa
Gaurav Sharma 0001
Heung-Yeung Shum
Janusz Konrad
Jocelyn Chanussot
John N. Hooker
Kannan Ramchandran
Kiyoharu Aizawa
Kwanghoon Sohn
Marylyn D. Ritchie
Michael Unser
Miki Haseyama
Narciso García
Nils Brede Moe
Oscar C. Au
Pedro M. Q. Aguiar
Peter Eisert
Qingming Huang
Ricardo L. de Queiroz
Rolf Drechsler
Sabine Süsstrunk
Sang Uk Lee
Stefano Tubaro
Thomas Wiegand
Tomoki Yoshihisa
Toshiyuki Yoshida
Witold A. Pleskacz
Xiaolin Wu 0001
Yap-Peng Tan
Yongyi Yang
Chin-Hui Lee
Christian S. Jensen
Dongwoo Kim 0001
Gunter Saake
Haizhou Li 0001
Henri Prade
Janusz Kacprzyk
John H. L. Hansen
Lee J. White
Mohamed-Slim Alouini
Robert Endre Tarjan
Schahram Dustdar
Tuomas Virtanen
W. Bastiaan Kleijn
Witold Pedrycz
Wolfgang Hackbusch
Alexander Benlian
Alok N. Choudhary
Andrea Tettamanzi
Andreas Uhl
Annalisa Appice
Arie E. Kaufman
Carsten Sinz
Christian S. Jensen
Christoph M. Kirsch
D. Marc Kilgour
David R. Traum
Domenico Saccà
Elisa Bertino
Farnoush Banaei Kashani
Feng Liu
Feng Qian 0001
Francesco Buccafurri
Hans-Peter Kriegel
Hein S. Venter
Hiroshi Mizoguchi
Hock-Hai Teo
Hyoung-Joong Kim
Inês Lynce
Jana Dittmann
Janice I. DeGross
Jian Li
Jian-Jia Chen
Jing Chen
Jing Wang
Jingzhi Guo
Joachim Biskup
Judy Bowen
Jun Ota
Kai Wang
Kao-Shing Hwang
Koji Murai
Kwei-Jay Lin
Li Wang
Mahmut T. Kandemir
Marco Gruteser
Markus Schneider 0001
Martin S. Olivier
Max Q.-H. Meng
MengChu Zhou
Michael Mateas
Michele Melchiori
MuDer Jeng
Ollivier Haemmerlé
Paul A. Pavlou
Peng Wang
Peter Steenkiste
Philippe A. Palanque
Pierangelo Veltri
Qiang Huang 0002
Robert Koch 0002
Roger Zimmermann
Setsuo Tsuruta
Shoji Hirano
Shusaku Tsumoto
Shuxiang Guo
Sonia Bergamaschi
Sos S. Agaian
Stefano Cagnoni
Stephen E. Reichenbach
Sumit Gulwani
Sushil Jajodia
Takehiro Inohara
Tan-Hsu Tan
Tao Li
Tei-Wei Kuo
Tianmiao Wang
Tok Wang Ling
Toshio Fukuda
Tzung-Pei Hong
Wei Wang
Willem Jonker
Xiaofang Zhou 0001
Xizhao Wang
Yan Wang
Yao-Hsin Chou
Yaron Kanza
Ying Hu
Yong Yu 0003
Youfu Li
Yuji Hayashi
Yun-Qing Shi 0001
Zia-ur Rahman
Abraham Kandel
Alfonso Farina
Anand Pillay
Andreas Winter 0001
Antonio Capone
Bernard De Baets
Cengiz Kahraman
Chin-Chen Chang 0001
Dacheng Tao
David E. Goldberg
David W. Coit
Dong In Kim
Dun Liu
Duoqian Miao
Edwin R. Hancock
Eitan Altman
Ekram Hossain
Elza Erkip
F. Richard Yu
Geoffrey Ye Li
Gleb Beliakov
Hing-Cheung So
Hong Yan 0001
Hubert Österle
Ian F. Akyildiz
Jack J. Dongarra
Jianwei Huang
John Power
Jon W. Mark
Kang G. Shin
Khaled Ben Letaief
Kuo-Liang Chung
Lajos Hanzo
Leandros Tassiulas
Lingjie Duan
Maja Pantic
Marcos Faúndez-Zanuy
Masoumeh Nasiri-Kenari
Matti Latva-aho
Michael J. Wooldridge
Mohamed-Slim Alouini
N. K. Bose
Narayanaswamy Balakrishnan 0001
Neelesh B. Mehta
Omer F. Rana
Peng Shi 0001
Peter Pagel
Philip S. Yu
Rajkumar Buyya
Richard H. Stern
Robert Schober
Robert W. Heath Jr.
Sam Kwong
Shane Greenstein
Songcan Chen
T. D. Wilson 0001
Victor C. M. Leung
Victor O. K. Li
Vijay K. Bhargava
Vincent W. S. Wong
Vladimir Katkovnik
Wei Chen
Wei Zhang 0001
Wei-Chang Yeh
Witold Pedrycz
Xiangyun Zhou 0001
Xiaohong Jiang
Xinbo Gao
Yang Xiang 0001
Yingxu Wang
Yunfei Chen
Zeshui Xu
Zhenfu Cao
Zhi Ding 0001
Zhu Han
Zibin Zheng
A. P. Sakis Meliopoulos
Alessandro Costantini
Alistair A. Young
Ann L. Fruhling
Antonio Laganà
Arnaldo Cecchini
Baowei Fei
Beniamino Murgante
Bernady O. Apduhan
Bjoern H. Menze
Björn Hartmann
Calvin R. Maurer Jr.
Carlos Eduardo Pereira
Charles L. A. Clarke
Choong Seon Hong
Christopher D. Manning
Christos Davatzikos
Christy M. K. Cheung
Craig Macdonald
Cristian A. Linte
Daniel D. Suthers
Daniel Rueckert
David J. Yates
David Taniar
Derek L. G. Hill
Dimitris N. Metaxas
Douglas L. Packer
Eli Gibson
Elvis C. S. Chen
Eric K. Clemons
Eugene Syriani
Frans Vos
Guido Gerig
Gwendolyn L. Kolfschoten
Gyung-Leen Park
Haizhou Li 0001
Heng Huang
Henning Müller
Hiroyuki Kajimoto
Hyunseung Choo
J. Alberto Espinosa
J. Alison Noble
Jan Marco Leimeister
Jay F. Nunamaker Jr.
Jeffrey H. Siewerdsen
Jerry Fjermestad
Jerry L. Prince
Jiang Liu 0001
Jie Zhang
Joachim Hornegger
Jose J. Gonzalez
Karine Nahon
Katia P. Sycara
Kawal S. Rhode
Kensaku Mori
Koji Nakano
Kouta Minamizawa
Leif Azzopardi
Lotfi A. Zadeh
Marijn Janssen
Massimo Poncino
Maxime Sermesant
Mei-Ling Shyu
Mert R. Sabuncu
Michael A. Shepherd
Michael Bieber
Miguel Ángel González Ballester
Miroslav Begovic
Oliver Thomas
Paul M. Thompson
Polina Golland
Qian Wang 0001
Rajiv M. Dewan
Ravin Balakrishnan
Ricardo Baeza-Yates
Richard F. Paige
Robert J. Kauffman
Robert J. Thomas
Robert J. Webster
Robert O. Briggs
Russell H. Taylor
Sajda Qureshi
Sanjay Misra
Satoshi Fujita
Scott E. Hudson
Shaohua Kevin Zhou
Sherah Kurnia
Shu-Ching Chen
Simonetta Pallottelli
Songbai Ji
Stefan Smolnik
Stephen H. Kaisler
Su-Lin Lee
Tamas Ungi
Theo van Walsum
Thomas J. Overbye
Tianming Liu
Toby Walsh
Tomohiro Tanikawa
Travis K. Huang
Tuo Zhang
Uwe Aßmann
W. Bruce Croft
Weili Lin
William E. Higgins
William M. Wells III
Wolfgang Wein
Xavier Pennec
Xenophon Papademetris
Xiaolei Huang
Yanwu Xu 0001
Yasuaki Ito
Yoichi Ochiai
Yonggang Shi
Óscar Reinoso
Øystein Haugen
Adam Wierman
Adriano Camps
Akira Matsuzawa
Anders M. Dale
Andreas Reigber
Ann-Chen Chang
Antonio Iodice
Arthur W. Toga
Benedikt Buchner
Bin Jiang 0001
Blaise Cronin
Britta Alexandra Mester
Choong Seon Hong
Daniel Rueckert
Fedor V. Fomin
Gabriel Curio
Gereon R. Fink
Go Hasegawa
Gustavo Deco
Habib Benali
Heidi Johansen-Berg
Helmut Reimer
Hideharu Amano
Hidetoshi Onodera
Hiroshi Harada
Hiroshi Inoue
Hiroshi Saito
Ho-Lim Choi
Irith Pomeranz
Jianlin Cheng
Jiro Hirokawa
José M. Bioucas-Dias
Jun Ota
Jun-ichi Takada
Junya Sekikawa
Kai Wang
Kamal Sarabandi
Kazuhiko Honjo
Kazuo Yamafuji
Keisuke Tanaka
Keivan Navi
Kenichi Okada
Kiichi Urahama
Koji Yamamoto
Kouichi Sakurai
Kunihiro Asada
Makoto Ando
Manuel Martín-Neira
Masahiko Yoshimoto
Masato Uchida
Matthew J. Brookes
Mengdao Xing
Mercè Vall-Llossera
Olivier David
Omar Ghattas
Panos M. Pardalos
Paul M. Thompson
Polina Golland
Satoshi Fujita
Saâd Jbabdi
Shin-Ichi Nakano
Shinji Kimura
Stefano Tebaldini
Stephen M. Smith
Takahiro Hanyu
Takao Kobayashi
Takao Onoye
Thomas Petri
Tianming Liu
Tomohiko Uyematsu
Toru Sato
Toshio Fukuda
Weili Lin
Xiaohong Jiang
Yasuhiko Tamura
Youji Iiguni
Yuji Oie
Zhengrong Xiang
Alan M. Frieze
Alfred W. Hübler
Andreas Bender
Belur V. Dasarathy
Bernard De Baets
Bin Deng
Bruce L. Golden
Daniel Zeng
Erik D. Demaine
Fei-Yue Wang 0001
Geoffrey M. Shaw
Giancarlo Mauri
H. Frank Cervone
Huadong Guo
Jens Nielsen
Jianbin Qiu
Jie Lu 0001
Jing Liu
Kuo-En Chang
MengChu Zhou
Miguel Nussbaum
Min Li
Olivier D. Faugeras
Paul A. Kirschner
Peng Shi 0001
Robert Fox
Robert R. Hoffman
Ross Feller
Ruchika Malhotra
Sariel Har-Peled
Shengyuan Xu
Shitong Wang 0001
Svante Janson
Trevor J. M. Bench-Capon
Wei Wang
Witold Pedrycz
Yan Zhang
Ying Wang
Yingmin Jia
Yong Chan Kim
Alan Burns
Alberto Bartoli
Alexandre X. Falcão
Aloysius K. Mok
Ashish Goel
Bernd Girod
Biswanath Mukherjee
Bodo Rosenhahn
Bogdan Trawinski
Cecilia Zanni-Merk
Chang Wen Chen
Changsheng Xu
Christoph Grimm 0001
Chuan Wu
Conor Ryan
Daniel R. Tauritz
Dimo Brockhoff
Eitan Altman
Emilio Leonardi
Enrico Rukzio
Eugenio Villar
Eytan Modiano
Francis C. M. Lau 0001
Francisco Chicano
François Baccelli
Gaogang Xie
Giovanni De Micheli
Hanqing Lu
Hideharu Amano
Hirokazu Watabe
Ignac Lovrek
Ignacio Aedo
Jaume Bacardit
Jian-Jia Chen
Jianwei Huang
Jing Liu
Joachim Denzler
John A. Stankovic
Juan-Carlos Cano
Junzo Watada
Jörg Henkel
Jürgen Branke
Kang G. Shin
Kazuhiko Tsuda
Kinshuk
Kiyoharu Aizawa
Leandros Tassiulas
Lei Zheng
Luiz Velho
Marcel Worring
Martin Pelikan
Masahiro Ozaki
Massoud Pedram
Matt Jones 0001
Matthew Andrews
Michael Rohs
Miltos Petridis
Mohamed Jemni
Mohan S. Kankanhalli
Moshe Babaioff
Motoki Miura
Nicole Immorlica
Niels Henze
Niraj K. Jha
Noboru Babaguchi
Nobuhiro Inuzuka
Oscar C. Au
Pascal Bouvry
Patrick Thiran
Per Kristian Lehre
Philippe Bekaert
Pierre Laforcade
Pierre-Emmanuel Gaillardon
Pietro Pala
Qianbin Chen
Qingming Huang
Reinhard Koch
Rolf Drechsler
Ronghuai Huang
Sanjay Shakkottai
Seiji Tsuchiya
Sheldon X.-D. Tan
Shi Jin 0002
Stefano Berretti
Stefanos D. Kollias
Steven H. Low
Tao Li
Tarek F. Abdelzaher
Thomas Helmuth
Thomas Jansen 0001
Thomas Lewiner
Thomas Stützle
Toyohide Watanabe
Tzung-Pei Hong
Victor C. M. Leung
Wei Wang
Xiaodong Lin
Xiaojun Lin
Xin Li 0001
Xiuzhen Cheng
Xue Liu 0001
Yao-Wen Chang
Yoshinori Adachi
Yuan Xie 0001
Yuanyuan Yang 0001
Yueming Cai
Yuji Iwahori
Yung-Chang Chen
Zhangdui Zhong
Zhi-Li Zhang
Akihiro Fujiwara
Alin Albu-Schäffer
Amir Yehudayoff
Amonida Zadissa
Anchi Guo
Ann S. Zweig
Arnab Bhattacharyya 0001
Arthur Tatnall
Berend Denkena
Bob O'Malley
Carol Hamilton
Carol J. Bult
Ching Y. Suen
Christian J. A. Sigrist
Christian von Mering
Dacheng Tao
Damian Keefe
Daniel Lawson
Daniel Rios
David Botstein
David J. Evans 0001
David L. Wheeler
Diane J. Cook
Donna R. Maglott
Eric W. Sayers
Erkan Yüce
Eurie L. Hong
Frank Vollertsen
Frank-Michael Schleif
Giulietta Spudich
Haibo He
Heribert Vollmer
Hideaki Sugawara
Hiram Clawson
Hsinchun Chen
Huaguang Zhang
Irith Pomeranz
James Ostell
Javier Herrero
Jinde Cao
Justin Thaler
Kate R. Rosenbloom
Kathryn Beal
Koji Nakano
Lajos Hanzo
Leo Gordon
Longbing Cao
Majid Sarrafzadeh
Maria C. Costanzo
Martin D. F. Wong
Massoud Pedram
MengChu Zhou
Neeraj Kayal
Nicola Nicolici
Nicolas Hulo
Niraj K. Jha
Osamu Ogasawara
Parikshit Gopalan
Paul Flicek
Peng Shi 0001
Piotr Berman
Qi Tian 0001
Ramprasad Saptharishi
Ran Raz
Ritu Agarwal
Robert Vaughan 0001
Rodrigo Lopez
Russell Impagliazzo
Salil P. Vadhan
Shaocheng Tong
Shun-ichi Amari
Songcan Chen
Srinivas Devadas
Stephen Fitzgerald
Stephen H. Bryant
Stephen M. J. Searle
Swagatam Das
Thomas L. Madden
Thomas Watson 0001
Vadim Zalunin
Valentine Kabanets
William B. Levy
Winona C. Barker
Witold Pedrycz
Wolfgang Maass 0001
Xin Li 0001
Xinbo Gao
Xosé M. Fernández-Suárez
Yao-Wen Chang
Yong Xu 0001
Yongkun Li
Yongming Li 0002
Yuan Xie 0001
Yuan Yan Tang
Yuichi Kodama
Zhanshan Wang
Zhigang Zeng
Alberto Moreira
Chin-Chen Chang 0001
Daniel Rueckert
David J. Evans 0001
Dennis Sylvester
Elisa Bertino
Eric A. M. Klumperink
Hoi-Jun Yoo
Hong Zhang 0001
Jiancheng Shi 0001
Jin Chen 0001
Joachim Hornegger
Jocelyn Chanussot
John Carlo Bertot
John R. Long
Kay Chen Tan
Li Wang
Marijn Janssen
Mengdao Xing
Nicolas Baghdadi
Panos M. Pardalos
Paul Frenger
Pavan Kumar Hanumolu
Philippe L. Toint
Qingfu Zhang 0001
Richard Bloss
Schahram Dustdar
Steve Vinoski
Stuart R. Phinn
Tadeusz Kaczorek
Xin Yao 0001
Yunkai Deng
Adrian Hilton
Alessandro Rizzi
Alok N. Choudhary
Anne E. James
Atilla Elçi
Azzedine Boukerche
Barbara Paech
Benny Kimelfeld
Bojan Cukic
Boudewijn F. van Dongen
Carlo S. Regazzoni
Cesar Augusto Tacla
Changsheng Xu
Chen-Fang Tsai
Choon-Woo Kim
Christian S. Jensen
Chung-Horng Lung
Chunxiao Xing
Cristiano Maciel
Daniele Riboni
Davide Ancona
Dirk Fahland
Donatella Sciuto
El-Ghazali Talbi
Francesco Quaglia
Friedrich Otto
Geert Poels
Gérard Assayag
Hajo A. Reijers
Han-Wei Shen
Hanqing Lu
Henry Linger
Horst Bischof
Howard Jay Siegel
Huaguang Zhang
Huib de Ridder
Ilia Bider
Jaakko Järvi
Jack J. Dongarra
Jan P. Allebach
Jason Liu
Javier Bajo
Javier Ruiz-del-Solar
Jean-Paul A. Barthès
Jesús Labarta
Jiannong Cao 0001
Jiebo Luo
Jinian Bian
Joaquín García-Alfaro
Jochen De Weerdt
John Mylopoulos
José A. Pino
José Duato
Jürgen Becker 0001
Kenneth A. Ross
Kiyoharu Aizawa
Klaus Schoeffmann
Koji Nakano
Lars Mönch
Laurie A. Williams
Lei Zhang 0001
Leonid Libkin
Linda B. Smith
Liqing Zhang 0001
Maja Pantic
Manfred Reichert
Manuela M. Veloso
Mara Helmuth
Marcel Worring
Marco Conti
Marco D. Santambrogio
Marcos R. S. Borges
Markus Holzer 0001
Marlon Dumas
Michel Raynal
Mikael Laurson
Min Han
Mohammad Zulkernine
Nelma Moreira
Nikos Chrisochoides
Noel E. O'Connor
Oscar C. Au
Pascal Bouvry
Philippe Depalle
Pnina Soffer
Qi Tian 0001
Ramesh C. Jain
Ray J. Paul
Richard M. Fujimoto
Robert G. Sargent
Roel J. Wieringa
Ronald Fagin
Rong Yan
Schahram Dustdar
Shmuel Zaks
Shuicheng Yan
Silvia Giordano
Simaan M. AbouRizk
Simon J. E. Taylor
Simon M. Lucas
Srinivas Aluru
Tao Mei 0001
Tetsuo Kamina
Ubbo Visser
Vesa Välimäki
Wenfei Fan
Wenfeng Li
Wolfgang Effelsberg
Wu-chun Feng
Xian-Sheng Hua 0001
Xiaoou Tang
Xiaoping Li 0001
Xiyu Liu
Yasutake Takahashi
Yongdong Zhang
Yoshitaka Shibata
Yuanyuan Yang 0001
Yves Demazeau
Zhanshan Wang
Ad J. van de Goor
Adit D. Singh
Ahmed E. Hassan
Alexander Fay
Alois Zoitl
Andreas Uhl
Andreas Zeller
Arie van Deursen
Avi Wigderson
Axel Legay
Bram Adams
Brian Vinter
Bronis R. de Supinski
Christian Rathgeb
Christos Faloutsos
David Taniar
Denys Poshyvanyk
Elisa Bertino
Emilio Corchado
Fabio Martinelli
Fatos Xhafa
Fotis N. Koumboulis
Georg Frey
George Bosilca
Gerhard Tröster
Grzegorz Mrugalski
Gunter Saake
Hari Subramoni
Hausi A. Müller
Howard Jay Siegel
Hsiang-Cheh Huang
Hsinchun Chen
Huawei Li
Ian T. Foster
Ilias K. Savvas
Irith Pomeranz
J. Wenny Rahayu
Jack J. Dongarra
Jan Treur
Jane Cleland-Huang
Janusz Kacprzyk
Jari Nurmi
Jerzy Tyszer
Jiannong Cao 0001
Jiri Vojtesek
John Mylopoulos
José Duato
José Neves 0001
Julian Proenza
Jürgen Jasperneite
Karsten Schwan
Kazuo Takahata
Ken-ichi Kawarabayashi
Kesheng Wu
Konstantinos Sagonas
Kouichi Sakurai
Kwang-Ting Cheng
Li-C. Wang
Lucia Lo Bello
Lukasz Wisniewski
Mani Soma
Margaret-Anne D. Storey
Masahiko Tsukamoto
Masahiro Ishida
Massimiliano Rak
Michael Chau
Michel Raynal
Michele Lanza
Michele Marchesi
Mohamed Jmaiel
Mubbasir Kapadia
Muhammad Ali Babar
Nilanjan Mukherjee 0001
Noriki Uchida
Patricia Lago
Patrick Heymans
Paul Grünbacher
Paul Lukowicz
Pen-Chung Yew
Philippe A. Palanque
Rafael Prikladnicki
Renato J. O. Figueiredo
Rick Rabiser
Robert Endre Tarjan
Roman Senkerik
Schahram Dustdar
Serge Pravossoudovitch
Sigeru Omatu
Sule Ozev
Sven Apel
Tadeusz Kaczorek
Takahiro J. Yamaguchi
Tao Xie 0001
Thad Starner
Tsong Yueh Chen
Tzung-Pei Hong
Uriel Feige
Venkatram Vishwanath
Wu-chun Feng
Yiqun Liu 0001
Yoshitaka Shibata
Yuval Rabani
Álvaro Herrero
Adam Marchewka
Ahmed E. Hassan
Alberto P. Avolio
Alexander F. Gelbukh
Alexander Vardy
Ananthram Swami
Andreas Eckhardt
Andreas Uhl
Andrian Marcus
Antonio Ortega
Aria Nosratinia
Arya Mazumdar
Ashish Khisti
Athina P. Petropulu
Belur V. Dasarathy
Ben Light
Bhaskar D. Rao
Bikash Kumar Dey
Bruce McNutt
Bruno Crispo
Catherine Pelachaud
Christina Fragouli
Christoph Rosenkranz
Christos Faloutsos
Daniel A. Menascé
Daniela Tuninetti
David Lo 0001
David R. Traum
Deniz Gündüz
Dirk Heylen
Dirk Neumann 0001
Dirk T. M. Slock
Dongning Guo
Eitan Yaakobi
Ellen M. Friedman
Elza Erkip
